Client Id,Sessions,Avg. Session Duration,Bounce Rate,Revenue,Transactions,Goal Conversion Rate
1300027300.1483544857,23,00:06:13,56.52%,$0.00,0,0.00%
1045707818.1466214861,11,00:03:36,36.36%,$0.00,0,0.00%
922134598.1470023940,9,00:04:07,22.22%,$0.00,0,0.00%
2023067983.1475473558,8,00:01:17,37.50%,$0.00,0,0.00%
266451692.1486541584,8,00:00:00,100.00%,$0.00,0,0.00%
1435536004.1472894946,6,00:00:24,66.67%,$0.00,0,0.00%
1294467510.1472324140,5,00:00:09,80.00%,$0.00,0,0.00%
1394610632.1489692453,5,00:00:00,100.00%,$0.00,0,0.00%
90850788.1471894283,5,00:00:16,80.00%,$0.00,0,0.00%
1437679125.1489826019,4,00:03:47,50.00%,$0.00,0,0.00%
1453058052.1489948018,4,00:27:08,0.00%,$0.00,0,0.00%
1607545567.1472505315,4,00:06:30,25.00%,$0.00,0,0.00%
1994313922.1475947914,4,00:02:58,75.00%,$0.00,0,0.00%
2058172085.1469553497,4,00:06:17,25.00%,$0.00,0,0.00%
1032609789.1468109071,3,00:00:00,100.00%,$0.00,0,0.00%
1071025861.1394313789,3,00:01:06,33.33%,$0.00,0,0.00%
1204902043.1477242498,3,00:00:00,100.00%,$0.00,0,0.00%
1494050550.1481120633,3,00:08:27,66.67%,$0.00,0,0.00%
1666197057.1487638538,3,00:02:54,66.67%,$0.00,0,0.00%
1681068879.1489477513,3,00:02:18,0.00%,$0.00,0,0.00%
1863474287.1489608617,3,00:00:27,33.33%,$0.00,0,0.00%
2120945322.1487090638,3,00:00:00,100.00%,$0.00,0,0.00%
2140134547.1489428014,3,00:13:10,0.00%,$0.00,0,0.00%
216569312.1474568710,3,00:09:55,66.67%,$0.00,0,0.00%
357607083.1477457559,3,00:02:14,0.00%,$0.00,0,0.00%
421551397.1487060472,3,00:00:26,66.67%,$0.00,0,0.00%
42613273.1484627559,3,00:05:12,33.33%,$0.00,0,0.00%
606831496.1489640724,3,00:04:40,33.33%,$0.00,0,0.00%
715988333.1489283893,3,00:00:46,33.33%,$0.00,0,0.00%
84088486.1489411539,3,00:00:01,66.67%,$0.00,0,0.00%
855173912.1489658825,3,00:33:37,0.00%,$0.00,0,0.00%
100870175.1480370580,2,00:00:00,100.00%,$0.00,0,0.00%
1008938322.1489443682,2,00:00:00,100.00%,$0.00,0,0.00%
1034925342.1489886395,2,00:06:30,0.00%,$0.00,0,0.00%
1035055907.1489485462,2,00:00:00,100.00%,$0.00,0,0.00%
1069485178.1489527330,2,00:30:36,0.00%,$0.00,0,0.00%
1070750335.1489393822,2,00:00:51,0.00%,$0.00,0,0.00%
1079940187.1489606067,2,00:00:00,100.00%,$0.00,0,0.00%
1082158707.1460745236,2,00:07:18,0.00%,$0.00,0,0.00%
1106155465.1448871117,2,00:00:59,50.00%,$0.00,0,0.00%
1119041617.1489935825,2,00:01:40,0.00%,$0.00,0,0.00%
1144878012.1464379546,2,00:00:24,50.00%,$0.00,0,0.00%
1181689848.1443062722,2,00:06:12,0.00%,$0.00,0,0.00%
1196443250.1480261970,2,00:00:00,100.00%,$0.00,0,0.00%
1248227091.1489817328,2,00:00:56,50.00%,$0.00,0,0.00%
1275797282.1489457827,2,00:08:36,0.00%,$0.00,0,0.00%
1283054559.1489943924,2,00:00:00,100.00%,$0.00,0,0.00%
1355943490.1480914192,2,00:00:00,100.00%,$0.00,0,0.00%
1417027802.1489566027,2,00:00:14,50.00%,$0.00,0,0.00%
1429321745.1489532343,2,00:00:00,100.00%,$0.00,0,0.00%
144859482.1489691052,2,00:04:13,0.00%,$0.00,0,0.00%
1476293378.1456635897,2,00:04:07,50.00%,$0.00,0,0.00%
1538816476.1489311803,2,00:00:00,100.00%,$0.00,0,0.00%
1589220624.1476881025,2,00:10:49,0.00%,$0.00,0,0.00%
1589288969.1489560179,2,00:00:00,100.00%,$0.00,0,0.00%
1617303940.1479742050,2,00:03:53,0.00%,$0.00,0,0.00%
1635884398.1480889900,2,00:00:00,100.00%,$0.00,0,0.00%
170130939.1489656329,2,00:00:00,100.00%,$0.00,0,0.00%
1739377735.1489586426,2,00:01:47,50.00%,$0.00,0,0.00%
1743583917.1489133661,2,00:00:00,100.00%,$0.00,0,0.00%
1758226134.1489965956,2,00:00:00,100.00%,$0.00,0,0.00%
1794198725.1456123849,2,00:00:00,100.00%,$0.00,0,0.00%
1814515481.1489356871,2,00:02:39,0.00%,$0.00,0,0.00%
1872953013.1422541647,2,00:01:57,0.00%,$0.00,0,0.00%
1885361807.1488845013,2,00:05:41,0.00%,$0.00,0,0.00%
1887683779.1466403462,2,00:10:00,0.00%,$0.00,0,0.00%
192644384.1489907961,2,00:00:00,100.00%,$0.00,0,0.00%
1976942640.1489772023,2,00:00:54,0.00%,$0.00,0,0.00%
1991134460.1471639219,2,00:00:00,100.00%,$0.00,0,0.00%
2049638789.1488313613,2,00:00:01,50.00%,$0.00,0,0.00%
2059158084.1489933520,2,00:04:20,0.00%,$0.00,0,0.00%
2122849382.1489401310,2,00:07:46,0.00%,$0.00,0,0.00%
214859532.1489646976,2,00:12:57,0.00%,$0.00,0,0.00%
282858150.1482496041,2,00:00:00,100.00%,$0.00,0,0.00%
304092793.1482026999,2,00:00:00,100.00%,$0.00,0,0.00%
32965890.1476801048,2,00:01:56,50.00%,$0.00,0,0.00%
383409254.1489444788,2,00:00:18,50.00%,$0.00,0,0.00%
398378753.1489690689,2,00:00:41,50.00%,$0.00,0,0.00%
